what,kind,bundleId,bundleVersion,description,time
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.1.I20091009-1900,"org.polarion.eclipse.team.svn.connector.javahl16",1407317094686
os,sysinfo,,,"win32",1407317094702
arch,sysinfo,,,"x86",1407317094702
ws,sysinfo,,,"win32",1407317094702
locale,sysinfo,,,"th_TH",1407317094702
processors,sysinfo,,,"4",1407317094702
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1407317094702
java.runtime.version,sysinfo,,,"1.5.0_21-b01",1407317094702
java.specification.name,sysinfo,,,"Java Platform API Specification",1407317094702
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407317094702
java.specification.version,sysinfo,,,"1.5",1407317094702
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1407317094702
java.version,sysinfo,,,"1.5.0_21",1407317094702
java.vm.info,sysinfo,,,"mixed mode",1407317094702
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1407317094702
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1407317094702
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1407317094702
java.vm.specification.version,sysinfo,,,"1.0",1407317094702
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1407317094702
java.vm.version,sysinfo,,,"1.5.0_21-b01",1407317094702
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.TaskList",1407317111561
activated,perspective,org.eclipse.ui.ide.application,,"org.eclipse.ui.resourcePerspective",1407317111592
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1407317111624
executed,command,,,"org.eclipse.ui.resourcePerspective",1407317111624
opened,view,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.ccvs.ui.RepositoriesView",1407317119968
started,bundle,org.eclipse.epp.usagedata.ui,1.1.1.R201001291118,"org.eclipse.epp.usagedata.ui",1407317119983
opened,view,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui.GenericHistoryView",1407317120030
opened,view,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1407317120108
activated,perspective,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui.cvsPerspective",1407317120124
activated,view,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.ccvs.ui.RepositoriesView",1407317120124
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.perspectives.showPerspective",1407317120171
executed,command,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui.cvsPerspective",1407317120171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1407317121171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1407317129093
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1407317136280
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1407317136671
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1407317136780
